;;15032;15029;15028;15027;15026;15025;15024;15023;15022;15021;15020;15019;15018;15017;15016;15015;15014;15013;15012;15011;15010;15009;15007;15006;15005;15004;15003;15002
dedede (lantis);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (madoo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (magister);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (maglet);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (maglia);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (maglith);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (magma);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (magneto);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (magolor);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (magpie);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (metaknight);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (pasara);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (pirette);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (pirika);;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (sasuke);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (sasukette);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (storo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (storo360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
drallion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
drallion (drallion360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
elm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
elm-kernelnext (elm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fizz (jax);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fizz (teemo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fizz-kernelnext (jax);;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
fizz-kernelnext (teemo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (aleena);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (barla);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (careena);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (kasumi);;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
grunt (kasumi360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (liara);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
grunt (treeya);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (treeya360);;;;;;1;;;;;;;;;;;1;;;;;;;;;1;;;
grunt-arc-r (kasumi);;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (aleena);;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;
grunt-kernelnext (barla);;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;
grunt-kernelnext (careena);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (kasumi);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (kasumi360);;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;
grunt-kernelnext (liara);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (treeya);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (treeya360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
guybrush (dewatt);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
guybrush (nipperkin);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hana-kernelnext (hana);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (akemi);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (dragonair);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (dratini);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (helios);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (jinlon);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (kindred);;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
hatch (kled);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (kohaku);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (nightfury);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch-arc-r (kled);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch-arc-r (kohaku);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch-borealis (helios);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch-kernelnext (kohaku);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch-kernelnext (nightfury);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (burnet);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (cerise);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (cozmo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (damu);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (esche);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (fennel);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (fennel14);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (juniper);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (kappa);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (kenzo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (stern);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (willow);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kalista-kernelnext (karma);;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
keeby (gooey);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kevin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kevin-kernelnext (kevin);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
kukui-arc-r (krane);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kukui-kernelnext (kakadu);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kukui-kernelnext (katsu);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kukui-kernelnext (kodama);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kukui-kernelnext (krane);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lars;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lars-kernelnext (lars);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (akali);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (akali360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (bard);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (ekko);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (pantheon);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (sona);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (syndra);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (vayne);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (akali);;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
nami-kernelnext (akali360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (bard);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (ekko);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (pantheon);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (sona);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (syndra);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (vayne);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nautilus (nautiluslte);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nocturne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nocturne-kernelnext (nocturne);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (ampton);;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;
octopus (apel);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (bloog);;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
octopus (blooglet);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (blooguard);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (blorb);;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
octopus (bluebird);;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
octopus (bobba);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (bobba360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (casta);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (dood);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
octopus (dorp);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (droid);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (fleex);;;;;;1;;;;;1;;;;;;;;;;;1;;;;;;;
octopus (foob);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (foob360);;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
octopus (garfour);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (garg);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (garg360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (grabbiter);;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
octopus (laser14);;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;
octopus (lick);;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;
octopus (meep);;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
octopus (mimrock);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (nospike);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (orbatrix);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (phaser);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (phaser360);;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;
octopus (sparky);;;;1;;;;;;;1;;;;;;1;;;;;;;;;;;;
octopus (sparky360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (vorticon);;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;
octopus (vortininja);;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;
octopus-arc-r (blorb);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-arc-r (bluebird);;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;
octopus-kernelnext (ampton);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (apel);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (bloog);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (blooglet);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (blooguard);;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
octopus-kernelnext (blorb);;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
octopus-kernelnext (bluebird);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (bobba);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (bobba360);;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
octopus-kernelnext (casta);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (dood);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (dorp);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (droid);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (fleex);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (foob);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (foob360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (garfour);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (garg);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (garg360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (grabbiter);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (laser14);;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
octopus-kernelnext (lick);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (meep);;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
octopus-kernelnext (mimrock);;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
octopus-kernelnext (nospike);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (orbatrix);;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;
octopus-kernelnext (phaser);;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
octopus-kernelnext (phaser360);;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
octopus-kernelnext (sparky);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (sparky360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (vorticon);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (vortininja);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff (dooly);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff (duffy);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff (faffy);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff (kaisa);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff (noibat);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff (wyvern);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rammus (shyvana);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rammus-arc-r (shyvana);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sarien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
scarlet (dru);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
scarlet (dumo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
scarlet-kernelnext (dru);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
scarlet-kernelnext (druwl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
scarlet-kernelnext (dumo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
snappy-kernelnext (snappy);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
soraka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strongbad (coachz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strongbad (homestar);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strongbad (mrbland);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strongbad (quackingstick);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strongbad (wormdingler);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strongbad-kernelnext (coachz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strongbad-kernelnext (homestar);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor (lazor);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor (limozeen);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor (pazquel);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor (pompom);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor-kernelnext (lazor);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor-kernelnext (limozeen);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor-kernelnext (pompom);;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
volteer (chronicler);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (collis);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (copano);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (delbin);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (drobit);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (eldrid);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (elemi);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (lillipup);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (lindar);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (voema);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (volet);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (volta);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (volteer2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (voxel);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer-kernelnext (volteer2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (berknip);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (dirinboz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (ezkinil);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (gumboz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (jelboz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (jelboz360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (morphius);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (vilboz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (vilboz14);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (vilboz360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (woomax);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork-arc-r (berknip);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork-arc-r (vilboz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork-kernelnext (ezkinil);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
