pass;=SUM(B8:B330);=SUM(C8:C330);=SUM(D8:D330);=SUM(E8:E330);=SUM(F8:F330);=SUM(G8:G330);=SUM(H8:H330);=SUM(I8:I330);=SUM(J8:J330);=SUM(K8:K330);=SUM(L8:L330);=SUM(M8:M330);=SUM(N8:N330);=SUM(O8:O330);=SUM(P8:P330);=SUM(Q8:Q330);=SUM(R8:R330);=SUM(S8:S330);=SUM(T8:T330);=SUM(U8:U330);=SUM(V8:V330);=SUM(W8:W330);=SUM(X8:X330);=SUM(Y8:Y330);=SUM(Z8:Z330);=SUM(AA8:AA330);=SUM(AB8:AB330);=SUM(AC8:AC330);
total run;=COUNTA(B8:B330);=COUNTA(C8:C330);=COUNTA(D8:D330);=COUNTA(E8:E330);=COUNTA(F8:F330);=COUNTA(G8:G330);=COUNTA(H8:H330);=COUNTA(I8:I330);=COUNTA(J8:J330);=COUNTA(K8:K330);=COUNTA(L8:L330);=COUNTA(M8:M330);=COUNTA(N8:N330);=COUNTA(O8:O330);=COUNTA(P8:P330);=COUNTA(Q8:Q330);=COUNTA(R8:R330);=COUNTA(S8:S330);=COUNTA(T8:T330);=COUNTA(U8:U330);=COUNTA(V8:V330);=COUNTA(W8:W330);=COUNTA(X8:X330);=COUNTA(Y8:Y330);=COUNTA(Z8:Z330);=COUNTA(AA8:AA330);=COUNTA(AB8:AB330);=COUNTA(AC8:AC330);
pass rate;=IF(B5=0, "N/A",B5/B6);=IF(C5=0, "N/A",C5/C6);=IF(D5=0, "N/A",D5/D6);=IF(E5=0, "N/A",E5/E6);=IF(F5=0, "N/A",F5/F6);=IF(G5=0, "N/A",G5/G6);=IF(H5=0, "N/A",H5/H6);=IF(I5=0, "N/A",I5/I6);=IF(J5=0, "N/A",J5/J6);=IF(K5=0, "N/A",K5/K6);=IF(L5=0, "N/A",L5/L6);=IF(M5=0, "N/A",M5/M6);=IF(N5=0, "N/A",N5/N6);=IF(O5=0, "N/A",O5/O6);=IF(P5=0, "N/A",P5/P6);=IF(Q5=0, "N/A",Q5/Q6);=IF(R5=0, "N/A",R5/R6);=IF(S5=0, "N/A",S5/S6);=IF(T5=0, "N/A",T5/T6);=IF(U5=0, "N/A",U5/U6);=IF(V5=0, "N/A",V5/V6);=IF(W5=0, "N/A",W5/W6);=IF(X5=0, "N/A",X5/X6);=IF(Y5=0, "N/A",Y5/Y6);=IF(Z5=0, "N/A",Z5/Z6);=IF(AA5=0, "N/A",AA5/AA6);=IF(AB5=0, "N/A",AB5/AB6);=IF(AC5=0, "N/A",AC5/AC6);
;;
brya (gimble);;;;1;;1;;;;;1;;1;;1;;;;;;;;;1;;;;1;
brya (kano);;;;1;;1;1;;;;1;;1;1;1;;;;;1;;1;;;;1;1;;
brya (primus);;;;;;1;;;;;1;;;;;;;;;;;1;;1;;1;;1;
brya (redrix);;;;1;;1;;;;;1;;;;;;;;1;;;1;;1;;1;;;
brya (taeko);;;;1;;;;;;;1;;1;;;;;;1;;;;;;;1;;;
brya (taniks);;;;1;;;;;;;1;;;;1;;;;1;;;1;1;;;1;;;
brya (vell);;;;1;;;;;;;1;;;1;;;;;1;1;;x;;1;;1;;;
brya (volmar);;;1;1;;;;;;;1;;1;1;1;;;;;;;;;1;;1;;1;
brya-kernelnext (anahera);;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;
brya-kernelnext (felwinter);;;;1;;1;;;;;1;;;;;;;;1;;;;;;;;;;
brya-kernelnext (gimble);;;;1;;;;;;;1;;;;;;;;1;;;1;;;;;;;
brya-kernelnext (kano);;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;
brya-kernelnext (primus);;;;1;;;;;;;1;;;;;;x;;;;;;;;;;;;
brya-kernelnext (redrix);;;;1;;;;;;;1;;;;1;;1;;;;;1;;;;;;;
brya-kernelnext (taeko);;;;1;;1;;;;;1;;;;;;1;;;;;1;;;;;;;
brya-manatee (gimble);;;;1;;;;;;;1;;;;1;;1;;1;;;;;1;;1;;;
caroline;;;1;;;;;;1;;;1;;;;;;;;;1;;x;;;;1;;
cave;;;1;;;;1;;;;;;;1;;x;;;;;;;1;;1;;;;
chell;1;;;;;;;;;;;;;;;1;;;;;1;;;;x;;;;
cherry (dojo);;;1;;1;1;;;;;1;1;;1;;1;1;;;;;;x;;1;;1;;
cherry (tomato);;;;1;;;1;;;;1;1;;1;1;;1;1;;1;;;;;1;;;;
coral-kernelnext (astronaut);;;;;;x;;x;;x;1;;;;;;x;;;;;x;;1;;x;;1;
coral-kernelnext (babymega);;;;x;;x;;1;;x;;;;;;;1;;1;;;;;1;;x;;;
coral-kernelnext (babytiger);;;;x;;1;;;;1;;;;;1;;;;1;;;x;;;;x;;;
coral-kernelnext (blacktip);;;;x;;x;;x;;;x;;;;x;;;;;;;;;;;x;;x;
coral-kernelnext (blacktip360);;;;x;;;;x;;;x;;;;;;x;;1;;;1;;;;x;;1;
coral-kernelnext (blacktiplte);;;;1;;;;1;;;1;;;;;;1;;;;;;;x;;1;;x;
coral-kernelnext (lava);;;;;;x;;x;;x;x;;;;;;;;;;;;;1;;x;;;
coral-kernelnext (nasher);;;;;;1;;1;;x;;;;;1;;;;;;;;;;;x;;1;
coral-kernelnext (nasher360);;;;;;1;;x;;x;x;;;;;;;;x;;;1;;;;x;;1;
coral-kernelnext (rabbid);;;;;;1;;x;;;x;;;;;;x;;;;;;;1;;1;;;
coral-kernelnext (robo);;;;1;;x;;1;;x;1;;;;;;;;;;;1;;;;1;;x;
coral-kernelnext (robo360);;;;1;;1;;1;;1;1;;;;x;;;;1;;;;;1;;;;;
coral-kernelnext (santa);;;;1;;1;;1;;1;1;;;;1;;;;;;;1;;;;;;;
coral-kernelnext (whitetip);;;;x;;1;;1;;;1;;;;;;;;;;;1;;1;;;;;
dedede (beetley);;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
dedede (blipper);;;1;;;;1;;;;;;;;;;;;;;1;;1;;1;;1;;
dedede (bookem);;;1;;;;;;;;;;;1;;;;;;;1;;1;;x;;x;;
dedede (boten);;;1;;1;;;;;;;1;;;;1;;;;;1;;;;;;1;;
dedede (bugzzy);;;;;1;;;;;;;;;;;1;;;;;;;;;1;;;;
dedede (cret);;;;;;;;;;;;;;;;1;;1;;;;;;;1;;;;
dedede (cret360);;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
dedede (drawman);;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
dedede (drawper);;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;
dedede (galith);;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
dedede (galith360);;;1;;;;;;;;;;;;;;;;;;;;1;;;;1;;
dedede (gallop);;;;;;;;;;;;1;;;;x;;;;;1;;;;;;1;;
dedede (galnat);;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;
dedede (galnat360);;;;;1;;;;;;;;;1;;;;;;;;;x;;;;1;;
dedede (galtic);;;1;;1;;;;;;;;;;;;;;;;;;;;;;1;;
dedede (galtic360);;;;;1;;;;;;;1;;1;;;;;;;;;;;;;;;
dedede (kracko);;;;;x;;;;;;;;;;;;;;;;;;;;;;;;
dedede (kracko360);;;1;;;;;;;;;;;1;;;;;;;;;x;;;;;;
dedede (landia);;;;;;;;;;;;;;;;1;;1;;1;;;1;;;;;;
dedede (landrid);;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
dedede (lantis);;;;;;;;;;;;;;1;;;;;;;x;;;;;;;;
dedede (madoo);;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;
dedede (magister);;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;
dedede (maglet);;;1;;1;;;;;;;;;1;;1;;;;1;;;1;;1;;;;
dedede (maglia);;;;;1;;1;;;;;;;1;;1;;1;;;;;;;1;;;;
dedede (maglith);;;;;;;;;;;;;;;;;;1;;;;;x;;1;;1;;
dedede (magma);;;;;1;;;;;;;;;1;;1;;;;;;;;;1;;;;
dedede (magneto);;;1;;1;;;;;;;;;;;;;;;;1;;1;;1;;1;;
dedede (magolor);;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (magpie);;;;;;;;;;;;;;;;1;;;;1;1;;;;1;;x;;
dedede (metaknight);;;;;1;;x;;;;;1;;;;x;;;;1;;;;;;;;;
dedede (pasara);;;;;1;;;;;;;1;;;;;;1;;;;;;;1;;;;
dedede (pirette);;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
dedede (pirika);;;1;;1;;;;;;;;;1;;1;;;;;;;;;1;;;;
dedede (sasuke);;;;;x;;;;;;;;;;;1;;;;;;;;;1;;;;
dedede (sasukette);;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
dedede (storo);;;1;;x;;;;;;;;;1;;1;;;;;;;;;;;;;
dedede (storo360);;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
drallion;;;;;;;;;;;;1;;;;;;;;;;;;;1;;1;;
drallion (drallion360);;;;;1;;;;;;;1;;;;;;;;1;;;;;;;;;
elm;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
elm-kernelnext (elm);;;;1;;1;;;;;1;;;;;;1;;1;;;;;1;;1;;;
eve;;;;1;;1;;;;;1;;;;;;1;;;;;1;;;;;;;
fizz (jax);;;;;;;1;;;;;1;;;;;;;;;;;;;;;x;;
fizz (teemo);;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
fizz-kernelnext (jax);;;;1;;x;;;;;1;;;;1;;x;;1;;;;;;;;;1;
fizz-kernelnext (teemo);;;;1;;1;;;;;x;;x;;1;;;;;;;;;1;;;;;
grunt (aleena);;;;;;1;;;;;;;;;;;1;;;;;;;x;;;;;
grunt (barla);;;;;;1;;;;;;;;;;;;;1;;;x;;;;1;;;
grunt (careena);;;;x;;1;;;;;;;;;;;;;;;;x;;;;1;;;
grunt (kasumi);;;;;;x;;;;;;;;;;;1;;x;;;1;;x;;;;x;
grunt (kasumi360);;;;;;x;;;;;;;;;;;;;;;;;;1;;;;1;
grunt (liara);;;;1;;1;;;;;;;;;;;1;;;;;;;1;;x;;;
grunt (treeya);;;;1;;1;;;;;;;;;;;;;x;;;;;1;;1;;;
grunt (treeya360);;;;x;;1;;;;;;;;;;;x;;1;;;;;;;x;;1;
grunt-arc-r (kasumi);;;;1;;1;;;;;x;;;;;;;;;;;;;;;;;;
grunt-kernelnext (aleena);;;;1;;1;;;;;x;;;;x;;1;;x;;;;;x;;;;;
grunt-kernelnext (barla);;;;;;1;;;;;x;;;;x;;;;x;;;x;;;;1;;1;
grunt-kernelnext (careena);;;;;;;;;;;1;;;;x;;x;;;;;;;;;;;;
grunt-kernelnext (kasumi);;;;;;1;;;;;1;;;;;;;;;;;x;;;;;;x;
grunt-kernelnext (kasumi360);;;;x;;1;;;;;1;;;;x;;;;;;;x;;x;;1;;;
grunt-kernelnext (liara);;;;x;;;;;;;x;;;;;;;;;;;;;1;;1;;;
grunt-kernelnext (treeya);;;;x;;1;;;;;1;;;;x;;;;;;;;;;;;;;
grunt-kernelnext (treeya360);;;;1;;x;;;;;;;;;x;;1;;;;;;;;;;;;
guybrush (dewatt);;;;x;1;;;;;;1;;;;1;1;1;;;;;;;;;;;;
guybrush (nipperkin);;;;1;;1;;;;;1;;1;1;1;;1;;;;;;;;;;;;
hana-kernelnext (hana);;;;x;;1;;;;;1;;;;;;;;1;;;;;;;;;;
hatch (akemi);;;;1;;1;;;;;1;;;1;;;;;x;;;;;;;;;1;
hatch (dragonair);;;;1;1;1;;;;;1;;;;1;;;;1;;;1;;x;;;;1;
hatch (dratini);;;1;;;1;;;;;1;;;1;;;;;1;1;;;;;;1;;;
hatch (helios);;;1;1;1;1;1;;;;1;;;1;;;;;;1;;;;1;x;1;1;1;
hatch (jinlon);;;;1;;1;;;;;1;;;1;;;;;1;1;;1;;1;;1;1;1;
hatch (kindred);;;;1;;;;;;;x;;;;1;;;;;;;1;;;;;x;;
hatch (kled);;;;1;;;;;;;1;;;;;1;;;;;;1;;;;1;;1;
hatch (kohaku);;;1;;;1;;;;;;;;;;;1;;1;1;;;;1;;;;;
hatch (nightfury);;;;;;1;;;;;1;1;;;1;;;;x;;;;x;;;1;;;
hatch-arc-r (kled);;;;;;;;;;;x;;;;;;;;1;;;;;1;;x;;;
hatch-arc-r (kohaku);;;;1;;1;;;;;1;;;;1;;1;;;;;;;1;;1;;1;
hatch-borealis (helios);;;;;;;;;;;1;;;;1;;1;;;;;;;1;;1;;1;
hatch-kernelnext (kohaku);;;;1;;;;;;;1;;1;;;;;;;;;;;;;1;;1;
hatch-kernelnext (nightfury);;;;1;;1;;;;;1;;;;1;;;;x;;;;;;;1;;;
jacuzzi-kernelnext (burnet);;;;1;;;;;;;;;;;;;;;;;;;;1;;1;;;
jacuzzi-kernelnext (cerise);;;;1;;;;;;;1;;;;1;;x;;1;;;1;;;;1;;;
jacuzzi-kernelnext (cozmo);;;;;;;;;;;1;;;;1;;;;;;;;;;;1;;;
jacuzzi-kernelnext (damu);;;;1;;;;;;;1;;;;x;;1;;1;;;1;;1;;;;;
jacuzzi-kernelnext (esche);;;;1;;;;;;;1;;;;1;;;;x;;;1;;;;1;;1;
jacuzzi-kernelnext (fennel);;;;1;;1;;;;;1;;;;;;1;;;;;;;1;;1;;;
jacuzzi-kernelnext (fennel14);;;;1;;1;;;;;1;;;;1;;;;;;;1;;;;1;;;
jacuzzi-kernelnext (juniper);;;;;;1;;;;;1;;;;;;;;1;;;;;;;;;1;
jacuzzi-kernelnext (kappa);;;;1;;1;;;;;;;;;1;;;;1;;;;;x;;;;1;
jacuzzi-kernelnext (kenzo);;;;;;1;;;;;1;;;;;;;;;;;1;;1;;1;;1;
jacuzzi-kernelnext (stern);;;;;;1;;;;;1;;;;;;x;;1;;;;;;;1;;;
jacuzzi-kernelnext (willow);;;;;;;;;;;1;;;;;;1;;;;;1;;1;;1;;;
kalista-kernelnext (karma);;;;;;1;;;;;1;;x;;;;1;;;;;;;1;;1;;x;
keeby (gooey);;;;1;;1;;;;;1;1;;;;1;;;;;;;;;;;1;;
kevin;;;1;;;;;;;;;1;;;;1;;;;;;;1;;;;;;
kevin-kernelnext (kevin);;;;1;;1;;1;;1;1;;;;;;1;;;;;;;1;;1;;;
kukui-arc-r (krane);;;;1;;1;;;;;1;;;;;;;;;;;;;;;1;;;
kukui-kernelnext (kakadu);;;;1;;;;;;;1;;;;1;;;;;;;;;1;;1;;;
kukui-kernelnext (katsu);;;;1;;1;;;;;1;;1;;;;1;;;;;;;;;;;;
kukui-kernelnext (kodama);;;;1;;1;;;;;1;;1;;;;1;;1;;;;;;;1;;;
kukui-kernelnext (krane);;;;1;;1;;;;;;;;;;;;;;;;;;;;1;;;
lars;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;
lars-kernelnext (lars);;;;1;;1;;x;;1;1;;;;;;;;1;;;1;;;;;;;
nami (akali);;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;
nami (akali360);;;1;;1;;1;;;;;1;;1;;1;;;;1;;;;;;;1;;
nami (bard);;;1;;1;;1;;;;;;;1;;;;;;;;;;;;;;;
nami (ekko);;;;;;;;;;;;;;;;x;;;;;;;;;;;1;;
nami (pantheon);;;1;;1;;;;;;;;;;;x;;;;1;;;;;;;;;
nami (sona);;;;;1;;1;;;;;;;;;;;;;1;;;x;;;;1;;
nami (syndra);;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;
nami (vayne);;;;;;;1;;;;;;;1;;1;;;;1;;;;;;;;;
nami-kernelnext (akali);;;;;;;;;;;1;;1;;1;;1;;1;;;1;;x;;x;;;
nami-kernelnext (akali360);;;;;;1;;;;;1;;x;;1;;;;;;;;;;;1;;;
nami-kernelnext (bard);;;;1;;1;;;;;1;;1;;x;;1;;;;;1;;1;;;;1;
nami-kernelnext (ekko);;;;1;;x;;;;;;;1;;;;;;;;;;;1;;;;1;
nami-kernelnext (pantheon);;;;x;;1;;;;;1;;1;;;;;;;;;1;;;;;;;
nami-kernelnext (sona);;;;;;1;;;;;;;;;;;;;x;;;x;;;;x;;;
nami-kernelnext (syndra);;;;1;;x;;;;;1;;;;1;;;;1;;;;;;;;;;
nami-kernelnext (vayne);;;;;;1;;;;;1;;;;1;;;;;;;x;;1;;1;;1;
nautilus (nautiluslte);;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
nocturne;;;;;x;;x;;;;;;;;;1;;;;;;;;;;;;;
nocturne-kernelnext (nocturne);;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;
octopus (ampton);;;;1;;1;;;;;1;;1;;;;;;x;;;;;1;;1;;;
octopus (apel);;;;x;;;;;;;x;;1;;;;;;1;;;;;;;x;;;
octopus (bloog);;;;1;;x;;;;;1;;;;;;1;1;;;;;1;;;1;;;
octopus (blooglet);;;;x;;;;;;;x;x;1;;;;;;1;;;x;;;;x;;1;
octopus (blooguard);;;;1;1;1;;;;;1;1;;;1;1;;;1;1;;1;;1;;1;;;
octopus (blorb);;;;1;;1;;;;;x;;x;;x;;;;;1;;;;;;;;;
octopus (bluebird);;;;1;;;;;;;1;x;1;;;;1;;;;;;1;x;;;;;
octopus (bobba);;;;1;;1;;;;;1;;;;x;;1;;;;;1;;1;;;;x;
octopus (bobba360);;;;1;;;;;;;x;;x;;;;;;1;;;1;;x;;;;;
octopus (casta);;;;;;x;;;;;x;;x;;1;;;;;;;1;;1;;;;;
octopus (dood);;;;;;1;;;;;1;1;1;;x;;1;;1;;;;;;;1;;1;
octopus (dorp);;;1;;;;;;;;1;1;;;1;;1;1;;1;;;;1;1;1;;;
octopus (droid);;;;1;;1;;;;;1;;;1;;;;;;1;;1;;;;1;1;;
octopus (fleex);;;;;;1;;;;;x;;1;;;;x;;x;;;x;;;;x;;;
octopus (foob);;;;1;;1;;;;;1;x;1;x;1;;;;1;;;;;1;;1;;1;
octopus (foob360);;;;x;;1;;;;;1;;1;;1;;1;;;;;1;;1;;;1;;
octopus (garfour);;;;1;1;;;;;;1;1;;;1;1;;;1;;;;;;;1;1;1;
octopus (garg);;;;1;;1;;;;;1;;1;;;;1;1;;1;;;;x;;1;;1;
octopus (garg360);;;;;;1;;;;;1;;1;;1;;;;;;;;;;;1;1;;
octopus (grabbiter);;;;1;;1;;;;;1;;1;;;;;x;;;;1;;;;1;;1;
octopus (laser14);;;;;;1;;;;;1;;1;;1;;1;;1;;;x;;1;;;;;
octopus (lick);;;;1;;1;;;;;1;;x;;;;;;1;;;;;1;;x;;;
octopus (meep);;;;;;;;;;;;;;;;;;;;;;x;;1;;x;;;
octopus (mimrock);;;;1;;;;;;;;;;;;;;;x;;;;1;;;1;;1;
octopus (nospike);;;;;;1;;;;;1;1;1;;1;;;;1;;;1;;1;;1;;1;
octopus (orbatrix);;;;;;x;;;;;1;;1;;x;;1;;1;;;;;;;;;;
octopus (phaser);;;;1;;1;;;;;1;;;;1;;;;;;;1;;;;;;;
octopus (phaser360);;;;1;;1;;;;;1;;1;;1;;1;;;;;1;;1;;1;;;
octopus (sparky);;;;1;;1;;;;;1;;x;;;;x;;x;;;;;1;;1;;x;
octopus (sparky360);;;;1;;1;;;;;1;;1;;;;;;1;;;;;1;;;;;
octopus (vorticon);;;1;1;;1;;;;;1;1;;;;;1;;1;;;;;1;;x;;;
octopus (vortininja);;;;x;;;;;;;x;;;1;1;;1;;1;;;1;;1;;;;;
octopus-arc-r (blorb);;;;x;;1;;;;;1;;1;;1;;;;x;;;;;;;1;;1;
octopus-arc-r (bluebird);;;;1;;x;;;;;1;;1;;1;;x;;1;;;1;;1;;1;;;
octopus-kernelnext (ampton);;;;1;;1;;;;;1;;;;;;;;;;;;;;;1;;;
octopus-kernelnext (apel);;;;1;;1;;;;;1;;;;x;;;;1;;;;;;;1;;1;
octopus-kernelnext (bloog);;;;1;;1;;;;;x;;;;1;;;;;;;;;;;1;;;
octopus-kernelnext (blooglet);;;;x;;x;;;;;1;;x;;;;1;;;;;x;;1;;x;;;
octopus-kernelnext (blooguard);;;;1;;1;;;;;1;;1;;1;;;;1;;;x;;;;1;;;
octopus-kernelnext (blorb);;;;x;;;;;;;1;;1;;x;;;;1;;;;;;;1;;;
octopus-kernelnext (bluebird);;;;1;;;;;;;1;;;;;;x;;;;;;;x;;;;;
octopus-kernelnext (bobba);;;;1;;1;;;;;1;;1;;;;;;;;;;;;;;;1;
octopus-kernelnext (bobba360);;;;;;1;;;;;1;;x;;;;;;;;;1;;;;;;;
octopus-kernelnext (casta);;;;1;;;;;;;1;;x;;;;1;;;;;;;x;;;;1;
octopus-kernelnext (dood);;;;x;;1;;;;;1;;;;1;;;;;;;1;;1;;;;1;
octopus-kernelnext (dorp);;;;1;;;;;;;x;;1;;1;;1;;1;;;1;;1;;1;;;
octopus-kernelnext (droid);;;;1;;1;;;;;1;;1;;1;;1;;;;;;;x;;1;;;
octopus-kernelnext (fleex);;;;;;1;;;;;1;;1;;;;;;;;;x;;1;;1;;;
octopus-kernelnext (foob);;;;x;;1;;;;;1;;x;;;;;;1;;;1;;;;1;;x;
octopus-kernelnext (foob360);;;;1;;1;;;;;1;;;;1;;;;1;;;;;;;;;1;
octopus-kernelnext (garfour);;;;;;1;;;;;1;;1;;;;1;;1;;;x;;1;;1;;1;
octopus-kernelnext (garg);;;;1;;;;;;;1;;;;;;;;;;;;;1;;x;;;
octopus-kernelnext (garg360);;;;1;;1;;;;;;;1;;1;;;;1;;;;;;;1;;;
octopus-kernelnext (grabbiter);;;;1;;1;;;;;1;;1;;1;;;;x;;;;;;;x;;;
octopus-kernelnext (laser14);;;;x;;x;;;;;1;;x;;1;;;;;;;;;1;;1;;;
octopus-kernelnext (lick);;;;x;;;;;;;1;;;;1;;;;1;;;;;1;;;;1;
octopus-kernelnext (meep);;;;;;;;;;;;;;;;;;;;;;x;;;;1;;;
octopus-kernelnext (mimrock);;;;1;;;;;;;;;;;;;;;;;;;;;;x;;;
octopus-kernelnext (nospike);;;;1;;1;;;;;1;;1;;1;;;;1;;;;;1;;;;1;
octopus-kernelnext (orbatrix);;;;1;;x;;;;;1;;1;;x;;1;;1;;;x;;1;;x;;1;
octopus-kernelnext (phaser);;;;x;;1;;;;;1;;1;;;;x;;;;;x;;;;1;;1;
octopus-kernelnext (phaser360);;;;;;;;;;;1;;1;;1;;1;;;;;;;;;1;;1;
octopus-kernelnext (sparky);;;;x;;x;;;;;1;;;;1;;;;x;;;;;;;1;;;
octopus-kernelnext (sparky360);;;;1;;1;;;;;x;;;;;;;;;;;1;;1;;1;;;
octopus-kernelnext (vorticon);;;;1;;1;;;;;x;;1;;;;;;1;;;;;x;;1;;;
octopus-kernelnext (vortininja);;;;1;;1;;;;;1;;;;;;;;;;;;;;;1;;;
puff (dooly);;;;;;;;;;;;x;;1;;;;;;;1;;;;;;1;;
puff (duffy);;;;;x;;;;;;;1;;;;1;;;;;1;;1;;x;;;;
puff (faffy);;;;;;;;;;;;;;;;x;;;;1;;;1;;;;1;;
puff (kaisa);;;;;;;;;;;;;;;;;;1;;;;;;;;;x;;
puff (noibat);;;;;1;;;;;;;x;;;;1;;;;1;;;;;;;;;
puff;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
